
=== app crash log started at 2026-05-16 05:44:12.692 ===
Command: logcat -b crash -b main -b system -b events -v threadtime AndroidRuntime:E ActivityManager:W ActivityTaskManager:W am_crash:I am_anr:I wm_crash:I DEBUG:E libc:F Process:E Pine:E PineEnhances:E PineXposed:E Xposed:E LSPosed:E PixelParts:E *:S
--------- beginning of crash
05-16 05:26:28.793  1560  4435 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:26:28.794  1560  4435 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@a2d3238
05-16 05:26:30.740  1560  2159 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:26:30.741  1560  2159 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@9dba211
05-16 05:26:34.513  1560  2417 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:26:34.515  1560  2417 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@f31c977
05-16 05:26:39.947  1560  2417 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:26:39.948  1560  2417 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@6e5e17c
05-16 05:26:45.783  1560  2159 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.clearcut.service.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:26:45.784  1560  2159 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@85564bd
05-16 05:26:48.792  1560  2417 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:26:48.793  1560  2417 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@d096e75
05-16 05:27:15.993  1560  2417 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:27:15.993  1560  2417 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@e8fd0d6
05-16 05:27:16.000  1560  2417 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.clearcut.service.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:27:16.001  1560  2417 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@614f57
05-16 05:27:16.063  1560  2159 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:27:16.064  1560  2159 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@88df72d
05-16 05:28:15.985  1560  4435 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.clearcut.service.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:28:15.985  1560  4435 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@6745972
05-16 05:29:12.909  1560  1971 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.measurement.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:29:12.909  1560  1971 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@fec3903
05-16 05:29:14.922  1560  4348 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.measurement.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:29:14.922  1560  4348 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@478c5e5
05-16 05:29:16.050  1560  4345 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:29:16.051  1560  4345 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@28d3ec8
05-16 05:29:16.062  1560  4345 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.clearcut.service.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:29:16.063  1560  4345 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@5f4db61
05-16 05:30:16.043  1560 16194 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.clearcut.service.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:30:16.045  1560 16194 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@5eff284
05-16 05:31:37.270  1560  4177 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:31:37.270  1560  4177 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@38765
05-16 05:31:37.373  1560  4177 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:31:37.374  1560  4177 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@8197892
05-16 05:31:37.389  1560  4177 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.clearcut.service.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:31:37.389  1560  4177 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@93a5e60
05-16 05:31:38.926  1560  4177 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:31:38.927  1560  4177 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@e57008c
05-16 05:31:41.525  1560  4177 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:31:41.525  1560  4177 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@eb99978
05-16 05:31:46.493  1560  4182 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:31:46.495  1560  4182 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@48250a8
05-16 05:31:54.624  1560  3987 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:31:54.625  1560  3987 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@8c29df9
05-16 05:32:07.425  1560  4177 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:32:07.426  1560  4177 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@e5685ee
05-16 05:32:07.432  1560  4177 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.clearcut.service.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:32:07.432  1560  4177 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@bb9ba8f
05-16 05:32:20.651  1560  1971 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:32:20.651  1560  1971 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@4f51e3
05-16 05:32:37.237  1560  4348 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.clearcut.service.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:32:37.238  1560  4348 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@7c4fc09
05-16 05:33:07.503  1560  4182 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:33:07.504  1560  4182 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@7457115
05-16 05:33:07.515  1560  4182 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.clearcut.service.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:33:07.515  1560  4182 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@c43bc2a
05-16 05:34:07.491  1560 16194 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.clearcut.service.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:34:07.493  1560 16194 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@2c403b6
05-16 05:35:07.685  1560  4177 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:35:07.687  1560  4177 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@e585617
05-16 05:35:07.697  1560  4177 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.clearcut.service.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:35:07.698  1560  4177 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@2a1da04
05-16 05:36:07.669  1560  4182 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.clearcut.service.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:36:07.671  1560  4182 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@b4d1df2
05-16 05:36:37.803  1560  4182 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:36:37.804  1560  4182 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@664e03b
05-16 05:36:37.820  1560  4182 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.cast.service.BIND_CAST_DEVICE_CONTROLLER_SERVICE xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:36:37.821  1560  4182 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@de7a358
05-16 05:36:37.825  1560  2159 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.measurement.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:36:37.826  1560  2159 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@d758cb1
05-16 05:36:37.976  1560  1971 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:36:37.977  1560  2159 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@c3cd21e
05-16 05:36:37.982  1560  2159 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.clearcut.service.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:36:37.984  1560  2159 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@f1ecaff
05-16 05:36:38.645  6306  6306 E AndroidRuntime: FATAL EXCEPTION: main
05-16 05:36:38.645  6306  6306 E AndroidRuntime: Process: com.google.android.apps.nexuslauncher, PID: 6306
05-16 05:36:38.645  6306  6306 E AndroidRuntime: java.lang.IllegalArgumentException: Expected receiver of type android.view.View, but got kotlinx.coroutines.z1
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at java.lang.reflect.Method.invoke(Native Method)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at top.canyie.pine.Pine.callBackupMethod(Pine.java:501)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at top.canyie.pine.Pine$CallFrame.invokeOriginalMethod(Pine.java:1092)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at top.canyie.pine.Pine.handleCall(Pine.java:753)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at top.canyie.pine.entry.Arm64Entry.handleBridge(Arm64Entry.java:158)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at top.canyie.pine.entry.Arm64Entry.voidBridge(Arm64Entry.java:23)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at org.pixel.customparts.addon.recents.RecentsTuneTestAddon.handlePreDraw(RecentsTuneTestAddon.java:531)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at org.pixel.customparts.addon.recents.RecentsTuneTestAddon.-$$Nest$mhandlePreDraw(Unknown Source:0)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at org.pixel.customparts.addon.recents.RecentsTuneTestAddon$3$1.onPreDraw(RecentsTuneTestAddon.java:325)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at android.view.ViewTreeObserver.dispatchOnPreDraw(ViewTreeObserver.java:1179)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at android.view.ViewRootImpl.performTraversals(ViewRootImpl.java:4564)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at android.view.ViewRootImpl.doTraversal(ViewRootImpl.java:3158)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at android.view.ViewRootImpl$TraversalRunnable.run(ViewRootImpl.java:10884)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at android.view.Choreographer$CallbackRecord.run(Choreographer.java:1647)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at android.view.Choreographer$CallbackRecord.run(Choreographer.java:1656)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at android.view.Choreographer.doCallbacks(Choreographer.java:1252)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at android.view.Choreographer.doFrame(Choreographer.java:1178)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at android.view.Choreographer$FrameDisplayEventReceiver.run(Choreographer.java:1630)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at android.os.Handler.handleCallback(Handler.java:1070)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at android.os.Handler.dispatchMessage(Handler.java:125)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at android.os.Looper.dispatchMessage(Looper.java:333)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at android.os.Looper.loopOnce(Looper.java:263)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at android.os.Looper.loop(Looper.java:367)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at android.app.ActivityThread.main(ActivityThread.java:9387)
05-16 05:36:38.645  6306  6306 E AndroidRuntime: 	at java.lang.reflect.Method.invoke(Native Method)
